89.5	A1	canu	original	busco
97.5	A2	canu	original	busco
93.5	A3	canu	original	busco
97.6	A4	canu	original	busco
96.8	A5	canu	original	busco
94	A6	canu	original	busco
93.5	A7	canu	original	busco
78.5	AB8	canu	original	busco
91	B1	canu	original	busco
92.8	B2	canu	original	busco
96.8	B3	canu	original	busco
95.4	B4	canu	original	busco
96	B6	canu	original	busco
94.3	nv107	canu	original	busco
95.6	nv109	canu	original	busco
96.9	nv115	canu	original	busco
89.8	SRR2326950000_ONT	canu	original	busco
89.8	SRR23269563_ONT	canu	original	busco
90.3	SRR23269564_ONT	canu	original	busco
88	SRR23269565_ONT	canu	original	busco
89.4	SRR23269571_ONT	canu	original	busco
91.6	SRR23269572_ONT	canu	original	busco
90.3	SRR23269573_ONT	canu	original	busco
91.9	SRR23269574_ONT	canu	original	busco
98.5	A1	Flye	original	busco
98.5	A2	Flye	original	busco
97.8	A3	Flye	original	busco
98.8	A4	Flye	original	busco
98.5	A5	Flye	original	busco
97.7	A6	Flye	original	busco
98.5	A7	Flye	original	busco
98.5	AB8	Flye	original	busco
98.4	B1	Flye	original	busco
98.7	B2	Flye	original	busco
98.6	B3	Flye	original	busco
98.5	B4	Flye	original	busco
98.6	B6	Flye	original	busco
96.4	nv107	Flye	original	busco
97.3	nv109	Flye	original	busco
97.6	nv115	Flye	original	busco
83.6	ORE	Flye	original	busco
93	SRR23269563_ONT	Flye	original	busco
93.4	SRR23269564_ONT	Flye	original	busco
94	SRR23269565_ONT	Flye	original	busco
93.5	SRR23269571_ONT	Flye	original	busco
93.6	SRR23269572_ONT	Flye	original	busco
94.2	SRR23269573_ONT	Flye	original	busco
94.2	SRR23269574_ONT	Flye	original	busco
95.4	nv107	nextdenovo	original	busco
97.2	nv109	nextdenovo	original	busco
96.9	nv115	nextdenovo	original	busco
92.5	SRR23269563_ONT	nextdenovo	original	busco
93.2	SRR23269564_ONT	nextdenovo	original	busco
90.4	SRR23269565_ONT	nextdenovo	original	busco
92.1	SRR23269571_ONT	nextdenovo	original	busco
92.7	SRR23269572_ONT	nextdenovo	original	busco
92.8	SRR23269573_ONT	nextdenovo	original	busco
93.5	SRR23269574_ONT	nextdenovo	original	busco
25.7	A1	nextdenovo-30	original	busco
89.5	A2	nextdenovo-30	original	busco
92.8	A3	nextdenovo-30	original	busco
69.8	A4	nextdenovo-30	original	busco
50.4	A5	nextdenovo-30	original	busco
90.5	A6	nextdenovo-30	original	busco
4.3	A7	nextdenovo-30	original	busco
1.2	B2	nextdenovo-30	original	busco
90.1	B3	nextdenovo-30	original	busco
65.3	B4	nextdenovo-30	original	busco
27.3	B6	nextdenovo-30	original	busco
95.2	nv107	nextdenovo-30	original	busco
96.9	nv109	nextdenovo-30	original	busco
96.4	nv115	nextdenovo-30	original	busco
0	ORE	nextdenovo-30	original	busco
92.6	SRR23269563_ONT	nextdenovo-30	original	busco
93.2	SRR23269564_ONT	nextdenovo-30	original	busco
90.5	SRR23269565_ONT	nextdenovo-30	original	busco
92.1	SRR23269571_ONT	nextdenovo-30	original	busco
92.8	SRR23269572_ONT	nextdenovo-30	original	busco
92.8	SRR23269573_ONT	nextdenovo-30	original	busco
93.9	SRR23269574_ONT	nextdenovo-30	original	busco
93.8	A1	canu	polished-purged	busco
89.4	A1	canu	ori-purged	busco
98.4	A1	Flye	ori-purged	busco
52.6	A1	nextdenovo	ori-purged	busco
97.1	A1	Flye	polished-purged	busco
94.6	A1	nextdenovo	polished-purged	busco
97.3	A2	canu	polished-purged	busco
97.3	A2	canu	ori-purged	busco
98.4	A2	Flye	ori-purged	busco
86.2	A2	nextdenovo	ori-purged	busco
97.6	A2	Flye	polished-purged	busco
97.5	A2	nextdenovo	polished-purged	busco
95.3	A3	canu	polished-purged	busco
93.2	A3	canu	ori-purged	busco
97.7	A3	Flye	ori-purged	busco
89.8	A3	nextdenovo	ori-purged	busco
95.8	A3	Flye	polished-purged	busco
95.5	A3	nextdenovo	polished-purged	busco
98.2	A4	canu	polished-purged	busco
97.4	A4	canu	ori-purged	busco
98.8	A4	Flye	ori-purged	busco
69	A4	nextdenovo	ori-purged	busco
98.4	A4	Flye	polished-purged	busco
98.4	A4	nextdenovo	polished-purged	busco
98	A5	canu	polished-purged	busco
96.7	A5	canu	ori-purged	busco
98.5	A5	Flye	ori-purged	busco
62.4	A5	nextdenovo	ori-purged	busco
97.8	A5	Flye	polished-purged	busco
97.9	A5	nextdenovo	polished-purged	busco
94.4	A6	canu	polished-purged	busco
93.9	A6	canu	ori-purged	busco
97.6	A6	Flye	ori-purged	busco
86.2	A6	nextdenovo	ori-purged	busco
95.3	A6	Flye	polished-purged	busco
95.2	A6	nextdenovo	polished-purged	busco
97	A7	canu	polished-purged	busco
93.5	A7	canu	ori-purged	busco
98.5	A7	Flye	ori-purged	busco
31.4	A7	nextdenovo	ori-purged	busco
98.3	A7	Flye	polished-purged	busco
83.2	A7	nextdenovo	polished-purged	busco
87.3	AB8	canu	polished-purged	busco
78.4	AB8	canu	ori-purged	busco
98.3	AB8	Flye	ori-purged	busco
97.7	AB8	Flye	polished-purged	busco
95.9	B1	canu	polished-purged	busco
91	B1	canu	ori-purged	busco
98.3	B1	Flye	ori-purged	busco
4.9	B1	nextdenovo	ori-purged	busco
97.3	B1	Flye	polished-purged	busco
14.5	B1	nextdenovo	polished-purged	busco
96.2	B2	canu	polished-purged	busco
92.7	B2	canu	ori-purged	busco
98.7	B2	Flye	ori-purged	busco
38.4	B2	nextdenovo	ori-purged	busco
97.4	B2	Flye	polished-purged	busco
88.1	B2	nextdenovo	polished-purged	busco
97.6	B3	canu	polished-purged	busco
96.6	B3	canu	ori-purged	busco
98.5	B3	Flye	ori-purged	busco
85.6	B3	nextdenovo	ori-purged	busco
97.5	B3	Flye	polished-purged	busco
97.6	B3	nextdenovo	polished-purged	busco
98.1	B4	canu	polished-purged	busco
95.3	B4	canu	ori-purged	busco
98.4	B4	Flye	ori-purged	busco
71.7	B4	nextdenovo	ori-purged	busco
97.9	B4	Flye	polished-purged	busco
97.9	B4	nextdenovo	polished-purged	busco
97.6	B6	canu	polished-purged	busco
95.9	B6	canu	ori-purged	busco
98.6	B6	Flye	ori-purged	busco
51.9	B6	nextdenovo	ori-purged	busco
97.8	B6	Flye	polished-purged	busco
97	B6	nextdenovo	polished-purged	busco
95.7	nv107	canu	polished-purged	busco
95.8	nv107	Flye	polished-purged	busco
96.1	nv107	nextdenovo	polished-purged	busco
94	nv107	canu	ori-purged	busco
96.2	nv107	Flye	ori-purged	busco
95.2	nv107	nextdenovo	ori-purged	busco
96.3	nv109	canu	polished-purged	busco
97	nv109	Flye	polished-purged	busco
97.3	nv109	nextdenovo	polished-purged	busco
95.2	nv109	canu	ori-purged	busco
97.2	nv109	Flye	ori-purged	busco
97.1	nv109	nextdenovo	ori-purged	busco
96.9	nv115	nextdenovo	polished-purged	busco
96.4	nv115	canu	ori-purged	busco
97.5	nv115	Flye	ori-purged	busco
96.7	nv115	nextdenovo	ori-purged	busco
83.3	ORE	Flye	ori-purged	busco
0	ORE	nextdenovo	ori-purged	busco
77.1	ORE	Flye	polished-purged	busco
0.1	ORE	nextdenovo	polished-purged	busco
93.7	SRR23269563	canu	polished-purged	busco
89.6	SRR23269563	canu	ori-purged	busco
93	SRR23269563	Flye	ori-purged	busco
94	SRR23269563	nextdenovo	polished-purged	busco
92.4	SRR23269563	nextdenovo	ori-purged	busco
94.1	SRR23269564	canu	polished-purged	busco
90.2	SRR23269564	canu	ori-purged	busco
94.1	SRR23269564	Flye	polished-purged	busco
93.4	SRR23269564	Flye	ori-purged	busco
94.2	SRR23269564	nextdenovo	polished-purged	busco
93.1	SRR23269564	nextdenovo	ori-purged	busco
93	SRR23269565	canu	polished-purged	busco
87.5	SRR23269565	canu	ori-purged	busco
93	SRR23269565	Flye	polished-purged	busco
94	SRR23269565	Flye	ori-purged	busco
92.9	SRR23269565	nextdenovo	polished-purged	busco
90.3	SRR23269565	nextdenovo	ori-purged	busco
94.1	SRR23269571	canu	polished-purged	busco
89.2	SRR23269571	canu	ori-purged	busco
94.2	SRR23269571	Flye	polished-purged	busco
93.5	SRR23269571	Flye	ori-purged	busco
94.4	SRR23269571	nextdenovo	polished-purged	busco
92.1	SRR23269571	nextdenovo	ori-purged	busco
94.1	SRR23269572	canu	polished-purged	busco
91.3	SRR23269572	canu	ori-purged	busco
93.9	SRR23269572	Flye	polished-purged	busco
93.6	SRR23269572	Flye	ori-purged	busco
93.8	SRR23269572	nextdenovo	polished-purged	busco
92.6	SRR23269572	nextdenovo	ori-purged	busco
93.2	SRR23269573	canu	polished-purged	busco
89.9	SRR23269573	canu	ori-purged	busco
93.6	SRR23269573	Flye	polished-purged	busco
94.2	SRR23269573	Flye	ori-purged	busco
93.4	SRR23269573	nextdenovo	polished-purged	busco
92.7	SRR23269573	nextdenovo	ori-purged	busco
94.7	SRR23269574	canu	polished-purged	busco
91.3	SRR23269574	canu	ori-purged	busco
94.8	SRR23269574	Flye	polished-purged	busco
94.1	SRR23269574	Flye	ori-purged	busco
94.8	SRR23269574	nextdenovo	polished-purged	busco
93.5	SRR23269574	nextdenovo	ori-purged	busco
